Race,Year,Circuit,Driver,DriverNumber,Team,LapNumber,PositionBefore,PositionAfter,PositionChange,ValidLapsEvaluated,Compound,TyreLife,FreshTyre,TrackStatus,IsSafetyCarPit,IsYellowFlagPit,TotalRaceLaps,RaceProgress,Label,OvertakingDifficulty,PitLossSeconds,OvertakingDifficulty_Numeric,PositionGapToLeader,IsLeader,IsTopThree,IsMidfield,IsBackmarker,TyreLife_Category,Compound_Numeric,EarlyRace,MidRace,LateRace,LapsToEnd,EstimatedStintLength,InTypicalPitWindow
Bahrain Grand Prix,2022,Sakhir,HAM,44,Mercedes,12.0,5.0,7.4,2.4000000000000004,5,HARD,2.0,False,1,False,False,57.0,0.21052631578947367,0.0,Easy,20.0,3,4.0,0,0,0,0,Fresh,3.0,1,0,0,45.0,2.0,0
Bahrain Grand Prix,2022,Sakhir,HAM,44,Mercedes,27.0,5.0,7.5,2.5,4,HARD,17.0,False,1,False,False,57.0,0.47368421052631576,0.0,Easy,20.0,3,4.0,0,0,0,0,Good,3.0,0,1,0,30.0,17.0,1
Bahrain Grand Prix,2022,Sakhir,HAM,44,Mercedes,28.0,5.0,7.2,2.2,5,MEDIUM,1.0,True,1,False,False,57.0,0.49122807017543857,0.0,Easy,20.0,3,4.0,0,0,0,0,Fresh,2.0,0,1,0,29.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,MSC,47,Haas F1 Team,12.0,16.0,17.75,1.75,4,SOFT,12.0,True,1,False,False,57.0,0.21052631578947367,1.0,Easy,20.0,3,15.0,0,0,0,1,Good,1.0,1,0,0,45.0,12.0,0
Bahrain Grand Prix,2022,Sakhir,MSC,47,Haas F1 Team,13.0,17.0,17.4,0.3999999999999986,5,MEDIUM,1.0,True,1,False,False,57.0,0.22807017543859648,1.0,Easy,20.0,3,16.0,0,0,0,1,Fresh,2.0,1,0,0,44.0,1.0,0
Bahrain Grand Prix,2022,Sakhir,MSC,47,Haas F1 Team,35.0,14.0,14.5,0.5,4,MEDIUM,23.0,True,1,False,False,57.0,0.6140350877192983,1.0,Easy,20.0,3,13.0,0,0,1,0,Good,2.0,0,1,0,22.0,23.0,1
Bahrain Grand Prix,2022,Sakhir,MSC,47,Haas F1 Team,36.0,14.0,14.4,0.40000000000000036,5,SOFT,3.0,False,1,False,False,57.0,0.631578947368421,1.0,Easy,20.0,3,13.0,0,0,1,0,Fresh,1.0,0,1,0,21.0,3.0,1
Bahrain Grand Prix,2022,Sakhir,SAI,55,Ferrari,14.0,3.0,3.0,0.0,4,SOFT,17.0,False,12,False,True,57.0,0.24561403508771928,1.0,Easy,20.0,3,2.0,0,1,0,0,Good,1.0,1,0,0,43.0,17.0,0
Bahrain Grand Prix,2022,Sakhir,SAI,55,Ferrari,15.0,4.0,3.0,-1.0,5,SOFT,1.0,True,21,False,True,57.0,0.2631578947368421,1.0,Easy,20.0,3,3.0,0,0,0,0,Fresh,1.0,1,0,0,42.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,SAI,55,Ferrari,33.0,1.0,3.0,2.0,4,SOFT,19.0,True,1,False,False,57.0,0.5789473684210527,1.0,Easy,20.0,3,0.0,1,1,0,0,Good,1.0,0,1,0,24.0,19.0,1
Bahrain Grand Prix,2022,Sakhir,SAI,55,Ferrari,34.0,1.0,3.0,2.0,5,MEDIUM,1.0,True,1,False,False,57.0,0.5964912280701754,1.0,Easy,20.0,3,0.0,1,1,0,0,Fresh,2.0,0,1,0,23.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,LAT,6,Williams,14.0,19.0,19.25,0.25,4,SOFT,14.0,True,12,False,True,57.0,0.24561403508771928,1.0,Easy,20.0,3,18.0,0,0,0,1,Good,1.0,1,0,0,43.0,14.0,0
